Date,Open,High,Low,Close,Adj Close,Volume
2023-01-17,54.610001,55.490002,54.060001,54.860001,54.761192,5288200
2023-01-18,56.500000,57.609001,53.130001,53.450001,53.353729,9115400
2023-01-19,51.139999,53.145000,49.520000,49.520000,49.430809,12142700
2023-01-20,49.134998,51.730000,48.680000,51.000000,50.908142,6098000
2023-01-23,51.270000,52.000000,50.419998,51.750000,51.656792,4311400
2023-01-24,51.220001,54.060001,51.200001,52.869999,52.774773,5561500
2023-01-25,51.869999,52.705002,51.070000,52.189999,52.095997,4584100
2023-01-26,52.430000,52.750000,50.410000,52.110001,52.016144,3967400
2023-01-27,51.389999,53.459999,50.980000,52.750000,52.654991,4772500
2023-01-30,51.910000,52.130001,50.279999,50.340000,50.249332,4370000
2023-01-31,49.900002,52.299999,49.529999,52.240002,52.145912,4638800
2023-02-01,52.099998,54.730000,51.619999,54.580002,54.481697,5479100
2023-02-02,54.279999,54.469002,51.919998,53.660000,53.563351,4665600
2023-02-03,53.400002,54.380001,52.580002,52.740002,52.645008,3546200
2023-02-06,55.139999,55.400002,50.860001,52.020000,51.926304,5405100
2023-02-07,52.160000,53.400002,50.865002,53.240002,53.144108,4359400
2023-02-08,52.180000,52.680000,50.610001,50.619999,50.528824,4649500
2023-02-09,51.470001,51.669998,49.714001,50.009998,49.919922,4197600
2023-02-10,49.279999,49.490002,48.189999,48.689999,48.602303,4612600
2023-02-13,48.389999,48.700001,47.119999,47.950001,47.863636,3334100
2023-02-14,47.500000,49.080002,46.939999,48.930000,48.841869,4296200
2023-02-15,47.509998,48.590000,47.279999,48.410000,48.322807,3623800
2023-02-16,48.290001,50.439999,48.049999,48.770000,48.682159,5437500
2023-02-17,48.174999,48.189999,46.320000,46.889999,46.805546,5550600
2023-02-21,48.130001,49.790001,47.810001,48.070000,47.983418,5382000
2023-02-22,49.730000,50.959999,48.509998,48.980000,48.891781,7719800
2023-02-23,48.500000,49.029999,46.549999,47.959999,47.873615,4654300
2023-02-24,46.930000,46.930000,45.270000,46.450001,46.366337,4587700
2023-02-27,46.849998,48.435001,46.369999,48.040001,47.953476,4931200
2023-02-28,48.250000,50.040001,47.799999,48.939999,48.851852,3871400
2023-03-01,51.290001,52.959999,50.529999,51.650002,51.556973,7599600
2023-03-02,50.189999,53.709999,50.049999,53.689999,53.593296,6467900
2023-03-03,54.330002,55.740002,53.700001,55.520000,55.420002,6162700
2023-03-06,54.009998,54.900002,53.380001,53.689999,53.689999,5129900
2023-03-07,52.779999,53.040001,49.919998,50.169998,50.169998,6298100
2023-03-08,50.410000,51.240002,49.750000,51.020000,51.020000,3467000
2023-03-09,50.700001,51.139999,47.330002,47.900002,47.900002,5590500
2023-03-10,48.119999,48.119999,44.459999,44.910000,44.910000,6195500
2023-03-13,43.509998,46.049999,42.244999,44.709999,44.709999,5585500
2023-03-14,45.830002,46.230000,43.919998,44.590000,44.590000,4197000
2023-03-15,42.330002,42.470001,38.849998,39.770000,39.770000,9434500
2023-03-16,39.169998,41.098000,38.509998,40.750000,40.750000,6519500
2023-03-17,40.610001,40.750000,38.901001,39.150002,39.150002,10292000
2023-03-20,39.889999,40.779999,39.689999,40.279999,40.279999,8559800
2023-03-21,41.119999,42.470001,41.119999,41.910000,41.910000,4334100
2023-03-22,41.950001,42.240002,39.959999,40.060001,40.060001,6664500
2023-03-23,40.580002,41.630001,39.730000,40.230000,40.230000,4143200
2023-03-24,39.279999,40.185001,38.816002,40.080002,40.080002,4014500
2023-03-27,40.509998,40.770000,39.573002,40.119999,40.119999,3897700
2023-03-28,40.250000,41.029999,40.060001,40.529999,40.529999,3409800
2023-03-29,41.299999,41.400002,40.709999,40.939999,40.939999,4154800
2023-03-30,41.599998,42.889999,41.380001,41.759998,41.759998,4800400
2023-03-31,41.970001,42.750000,41.599998,42.560001,42.560001,3078100
2023-04-03,42.560001,42.950001,41.130001,41.770000,41.770000,3272100
2023-04-04,41.439999,41.520000,39.310001,40.340000,40.340000,4587400
2023-04-05,39.820000,40.189999,38.720001,39.430000,39.430000,4251000
2023-04-06,39.119999,39.290001,38.080002,39.160000,39.160000,5313600
2023-04-10,39.160000,40.150002,39.000000,39.779999,39.779999,2452000
2023-04-11,40.520000,41.180000,40.150002,40.630001,40.630001,4282000
2023-04-12,41.180000,41.250000,39.375000,39.639999,39.639999,5256000
2023-04-13,40.380001,41.345001,40.119999,40.939999,40.939999,4086500
2023-04-14,41.349998,41.430000,39.985001,40.400002,40.400002,3374900
